Student_ID,Age,Gender,Department,Attendance,Study_Hours,Previous_Marks,Assignment_Score,Participation,Previous_Exam_Score,Sleep_Hours,Internet_Access,Extracurricular_Activity,Parental_Support,Final_Performance
STU1001,20,Female,Computer Science,82.0,7.0,62.8,65.4,63.8,49.3,5.7,Yes,Yes,Medium,72.9
STU1002,23,Male,Computer Science,64.5,6.1,43.5,49.7,47.5,35.0,4.9,Yes,No,Low,43.2
STU1003,17,Male,Data Science,87.8,3.2,46.7,67.1,63.3,44.8,8.5,Yes,No,High,61.9
STU1004,22,Male,Information Technology,90.2,1.8,55.0,55.9,54.1,43.0,8.3,Yes,Yes,High,60.6
STU1005,20,Male,Computer Science,52.6,1.0,35.0,35.0,20.0,35.5,7.5,Yes,Yes,High,46.5
STU1006,22,Female,Data Science,61.1,3.5,44.9,51.3,65.2,40.7,5.8,Yes,Yes,Medium,50.5
STU1007,17,Male,Data Science,79.7,8.9,77.7,61.2,78.7,65.6,8.8,Yes,Yes,Low,75.1
STU1008,23,Female,Commerce,73.9,5.3,48.9,57.4,39.8,38.7,6.4,Yes,No,Medium,58.9
STU1009,17,Female,Computer Science,77.8,3.5,57.4,75.7,73.9,51.1,6.5,No,No,High,57.1
STU1010,23,Male,Computer Science,66.9,5.3,54.8,59.1,67.9,36.2,8.4,Yes,No,Medium,55.7
STU1011,21,Female,Computer Science,89.4,1.7,35.0,45.7,26.0,35.0,7.5,No,Yes,Medium,45.3
STU1012,19,Female,Computer Science,88.1,4.0,72.2,71.2,91.6,65.8,9.0,Yes,No,High,74.4
STU1013,17,Female,Computer Science,78.9,4.7,47.4,65.7,70.9,37.9,7.1,Yes,No,High,63.6
STU1014,21,Female,Data Science,92.7,4.3,38.2,36.3,63.0,35.0,6.4,Yes,Yes,High,59.2
STU1015,17,Female,Computer Science,84.1,5.9,47.7,45.8,96.0,35.0,6.1,Yes,No,Medium,56.9
STU1016,21,Male,Information Technology,66.8,5.1,37.2,53.0,58.4,35.0,4.8,Yes,Yes,Medium,52.1
STU1017,22,Male,Data Science,82.8,5.7,59.5,58.5,65.3,41.6,6.5,Yes,Yes,Medium,70.7
STU1018,18,Female,Information Technology,65.5,3.3,38.7,57.9,34.1,42.9,8.1,Yes,Yes,Medium,45.9
STU1019,18,Male,Data Science,89.4,6.1,59.4,65.8,81.2,47.5,7.5,Yes,Yes,High,71.3
STU1020,18,Female,Information Technology,77.4,7.4,70.4,54.4,80.4,35.0,6.8,Yes,No,High,66.1
STU1021,18,Male,Computer Science,75.6,2.8,48.7,36.8,48.3,35.0,5.7,Yes,No,High,50.9
STU1022,17,Female,Information Technology,69.1,2.9,45.9,35.0,31.4,46.5,7.0,Yes,Yes,Low,40.5
STU1023,18,Female,Computer Science,93.9,6.9,73.4,75.7,79.1,49.8,7.9,Yes,No,Medium,81.6
STU1024,21,Female,Commerce,76.0,4.2,57.6,55.8,53.9,35.0,7.3,Yes,Yes,High,55.3
STU1025,19,Male,Computer Science,72.4,7.0,35.0,54.2,43.6,44.4,7.0,No,Yes,High,59.9
STU1026,22,Male,Information Technology,73.4,3.7,42.7,60.7,25.0,38.7,5.9,Yes,Yes,Medium,48.9
STU1027,22,Male,Information Technology,84.9,7.1,39.0,76.0,83.9,35.0,7.8,Yes,No,Medium,59.7
STU1028,22,Male,Data Science,82.8,4.7,55.6,59.0,20.0,36.1,4.0,Yes,Yes,Medium,62.6
STU1029,20,Female,Data Science,83.4,5.0,56.5,40.9,66.2,47.0,7.2,Yes,No,High,66.4
STU1030,19,Female,Computer Science,83.6,7.3,77.9,84.1,65.5,50.6,9.0,Yes,Yes,Low,74.6
STU1031,23,Female,Data Science,100.0,3.8,73.7,74.6,87.5,62.1,5.1,Yes,No,Medium,79.4
STU1032,18,Female,Computer Science,72.7,2.8,45.8,50.7,37.8,37.7,6.5,Yes,No,Medium,48.5
STU1033,20,Female,Computer Science,71.3,3.7,40.1,58.2,62.5,35.0,6.8,Yes,Yes,Medium,52.5
STU1034,20,Female,Computer Science,67.4,5.3,56.3,46.8,49.7,39.3,6.3,No,Yes,Low,49.7
